index,Furniture,color,x,y,area_x,area_y
52,3,3,2.06958723,1.60603333,2,2
53,1,3,-4.43,3.17,-1,-1
54,1,4,-3.76181817,3.17,0,3
55,0,1,3.45305824,3.00438,3,3
56,0,3,-3.76181817,2.08206582,0,2
57,2,3,-1.63454533,2.95975232,1,3
58,2,0,-0.7271073,2.32008243,1,3
59,4,2,-2.70561957,3.17,0,3
60,5,4,3.58694243,3.926694,3,-1
61,5,5,-2.91388488,4.01595,0,-1
62,5,5,0.0,3.8,1,-1
63,8,7,0.0,0.0,1,1
64,1,4,-1.99157023,3.17,0,3
65,3,5,-2.06595039,0.936611354,0,1
66,0,1,-4.25272751,2.66223145,-1,-1
67,0,3,3.5125618,3.13826466,3,3
68,6,3,2.99190044,0.282066,3,1
69,6,1,4.06297541,-0.5807438,3,0
70,3,1,3.03652859,-0.595619857,3,0
71,7,2,-3.70231414,2.885372,0,3
72,7,0,4.16710758,2.39446282,3,3
73,5,3,3.572066,3.8,3,-1
74,5,1,-3.76181817,3.8,0,-1
75,2,1,-2.08082676,1.51677692,0,2
76,2,0,-1.23289251,0.862231553,1,1
77,1,8,1.66793382,3.17,2,3
78,2,1,-2.89900851,0.81760335,0,1
79,4,3,-0.370082617,3.17,1,3
80,4,0,4.00347137,0.3713224,3,1
81,1,5,1.02826452,-0.87,2,0
82,1,3,-1.36677718,3.1085124,1,3
83,8,7,0.0,0.0,1,1
84,0,3,-2.98826432,3.12338853,0,3
85,3,3,0.953884244,1.62090886,2,2
86,4,2,4.28611565,3.17,3,3
87,6,0,0.998512268,2.468843,2,3
88,6,2,1.99520636,1.650661,2,2
89,7,2,4.092727,-0.87,3,0
90,7,0,-4.074215,3.17,0,3
91,2,2,2.01008272,-0.0005785078,2,1
92,3,6,2.06958723,-0.5807438,2,0
93,4,2,-4.05933952,2.73661184,0,3
94,5,4,2.69438076,3.837438,3,-1
95,5,5,-3.55355382,3.94157,0,-1
96,2,3,1.16214859,-0.7295042,2,0
97,1,4,-1.35190082,3.17,1,3
98,1,3,3.69107485,2.885372,3,3
99,1,2,3.229917,3.17,3,3
100,3,1,-4.193223,0.8027273,-1,-1
101,4,2,-4.17834663,1.57628119,-1,-1
102,2,5,-3.538678,0.8771076,0,1
103,8,7,0.0,0.0,1,1
104,0,3,-4.312232,1.96305788,-1,-1
105,2,2,-3.88082671,2.84074378,0,3
106,1,4,1.50429749,3.17,2,3
107,1,7,2.09933877,3.17,2,3
108,6,3,2.21834755,1.3382647,2,2
109,6,0,0.0315703154,-0.104710713,1,1
110,8,7,0.0,0.0,1,1
111,6,3,2.06958723,1.71016526,2,2
112,6,1,3.27454519,0.9663635,3,1
113,7,0,3.914215,2.93,3,3
114,0,1,-4.044463,2.915124,0,3
115,0,0,2.09933877,-0.669999957,2,0
116,4,2,4.06297541,-0.87,3,0
117,4,3,-3.10727334,3.17,0,3
118,5,3,3.43818188,3.98619819,3,-1
119,5,0,-2.39322352,4.16,0,-1
120,8,7,0.0,0.0,1,1
121,0,2,3.12578583,-0.6402478,3,0
122,7,2,4.28611565,-0.7295042,3,0
123,5,4,3.89933872,3.98619819,3,-1
124,6,3,2.12909055,2.33495855,2,3
125,6,0,3.31917334,1.5911572,3,2
126,4,3,-4.25272751,3.17,-1,-1
127,2,0,3.096033,0.01429756,3,1
128,1,4,-3.37504125,3.17,0,3
129,1,7,-2.86925673,3.17,0,3
130,4,1,2.962149,2.36471057,3,3
131,3,2,2.21834755,1.51677692,2,2
132,1,6,-0.489090919,3.06388426,1,3
133,2,0,-3.25603366,1.71016526,0,2
134,3,4,-3.28578544,1.05561984,0,2
135,2,0,-4.029587,0.936611354,0,1
136,5,4,-3.34528947,4.07545471,0,-1
137,8,7,0.0,0.0,1,1
138,0,1,4.152231,2.94487619,3,3
139,2,3,3.46793365,2.82586765,3,3
140,6,0,2.72413254,1.20438,3,2
141,6,0,3.67619848,0.505206466,3,1
142,7,0,4.19685936,1.96305788,3,2
143,5,3,-3.94033027,4.06057835,0,-1
144,3,3,2.72413254,0.4605788,3,1
145,1,4,-3.31553769,3.17,0,3
146,1,3,-3.95520663,2.885372,0,3
147,1,2,-4.43,3.17,-1,-1
148,4,2,3.88446331,-0.87,3,0
149,3,5,-3.04776883,0.8027273,0,1
150,0,2,-1.81305814,2.885372,1,3
151,5,4,3.5571897,3.971322,3,-1
152,5,2,0.046446085,4.0903306,1,-1
153,2,2,-2.97338843,1.35314071,0,2
154,2,0,-2.17008281,0.7134709,0,1
155,4,3,-1.08413219,3.17,1,3
156,8,7,0.0,0.0,1,1
157,2,3,3.229917,3.04900813,3,3
158,2,0,4.033224,2.51347136,3,3
159,3,3,3.21504164,2.439091,3,3
160,4,1,3.824959,3.04900813,3,3
161,0,1,3.3340497,-0.863388538,3,0
162,7,2,4.19685936,-0.223718986,3,0
163,7,2,0.0,0.0,1,1
164,8,7,0.0,0.0,1,1
165,3,3,2.38198328,1.47214866,2,2
166,6,3,2.42661142,2.21595049,2,2
167,7,1,3.17041373,1.79942167,3,2
168,3,4,0.299339056,-0.179090783,2,1
169,2,0,0.299339056,0.401074529,2,1
170,0,0,-4.25272751,2.76636386,-1,-1
171,0,1,4.152231,3.00438,3,3
172,1,3,-1.47090912,3.09363627,1,3
173,1,4,-0.8461156,3.17,1,3
174,2,4,0.96876055,-0.253471136,2,0
175,1,8,-0.08743799,3.1085124,1,3
176,4,3,3.45305824,3.17,3,3
177,7,0,-3.61305785,3.09363627,0,3
178,0,2,-2.03619814,0.163057968,0,1
179,1,5,4.43,-0.87,3,0
180,5,4,3.94396663,4.04570246,3,-1
181,5,5,-3.68743873,4.01595,0,-1
182,5,2,0.581983566,3.971322,2,-1
183,8,7,0.0,0.0,1,1
184,0,1,4.00347137,2.7961154,3,3
185,7,0,3.17041373,3.16801667,3,3
186,4,1,2.709256,3.16801667,3,3
187,3,3,-3.43454576,1.45727265,0,2
188,2,4,-3.37504125,2.022562,0,2
189,2,4,-2.63124013,1.44239664,0,2
190,0,0,3.393554,-0.87,3,0
191,7,0,4.033224,-0.238595054,3,0
192,3,4,1.34066129,1.1002481,2,2
193,1,4,-3.79157043,3.17,0,3
194,1,3,-3.18165278,3.17,0,3
195,5,4,3.780331,4.00107431,3,-1
196,5,5,-2.54198384,4.00107431,0,-1
197,1,5,-4.43,0.386198461,-1,-1
198,1,8,-2.512231,3.17,0,3
199,6,0,1.38528919,1.90355361,2,2
200,0,1,-0.4295869,3.17,1,3
201,7,0,-0.5337188,1.96305788,1,2
202,8,7,0.0,0.0,1,1
203,0,0,-3.79157043,2.8704958,0,3
204,0,2,2.99190044,-0.4617355,3,0
205,6,3,2.82826471,2.49859524,3,3
206,7,2,3.48281,2.94487619,3,3
207,6,1,3.780331,1.78454566,3,2
208,3,3,2.87289286,1.75479341,3,2
209,2,1,-1.14363647,1.5911572,1,2
210,2,0,-0.414710522,0.8919837,1,1
211,3,6,-1.17338872,0.9663635,1,1
212,5,4,-3.49405026,3.95644617,0,-1
213,5,1,3.83983541,3.98619819,3,-1
214,8,7,0.0,0.0,1,1
215,4,2,4.27124,3.17,3,3
216,6,3,3.00677681,2.67710757,3,3
217,1,4,-3.70231414,3.06388426,0,3
218,1,3,-4.356859,2.915124,-1,-1
219,1,8,-2.97338843,3.04900813,0,3
220,6,0,4.033224,2.022562,3,2
221,7,2,-4.118843,1.27876043,0,2
222,5,4,3.81008267,4.01595,3,-1
223,5,0,-3.330413,4.04570246,0,-1
224,2,2,-2.765124,1.96305788,0,2
225,3,1,-3.55355382,1.96305788,0,2
226,3,2,3.06628132,1.93330574,3,2
227,7,0,3.21504164,-0.0154545754,3,1
228,0,1,3.83983541,-0.5807438,3,0
229,0,2,-0.8907442,0.07380156,1,1
230,4,2,-0.608099,0.7580991,1,1
231,7,1,0.0,0.0,1,1
232,8,7,0.0,0.0,1,1
233,5,5,3.54231453,3.94157,3,-1
234,5,1,-3.25603366,4.03082657,0,-1
235,4,2,3.98859477,-0.87,3,0
236,6,3,0.3885951,2.6919837,2,3
237,6,0,1.60842991,2.15644622,2,2
238,1,4,4.28611565,3.17,3,3
239,1,7,3.73570275,3.17,3,3
240,1,9,-4.163471,3.17,-1,-1
241,1,3,-4.43,1.18950391,-1,-1
242,1,2,4.43,1.38289285,3,2
243,2,2,-3.00314069,2.453967,0,3
244,3,3,0.462975264,1.87380147,2,2
245,2,1,-2.08082676,1.8291738,0,2
246,3,1,-2.98826432,1.93330574,0,2
247,6,2,-0.384958982,1.93330574,1,2
248,0,2,2.81338835,-0.863388538,3,0
249,0,0,-1.48578548,-0.208842918,1,0
250,7,2,-0.950248,0.192809835,1,1
251,7,0,3.40843,-0.342727244,3,0
252,8,7,0.0,0.0,1,1
253,3,6,2.60512352,1.94818187,3,2
254,5,4,3.75057817,4.0903306,3,-1
255,5,5,-4.05933952,4.04570246,0,-1
256,0,0,3.85471058,-0.595619857,3,0
257,0,2,-0.414710522,3.17,1,3
258,6,3,2.60512352,2.70685959,3,3
259,6,0,3.72082663,1.93330574,3,2
260,1,4,-3.70231414,3.17,0,3
261,1,5,-3.10727334,3.17,0,3
262,3,4,-3.330413,1.219256,0,2
263,2,1,-3.31553769,1.87380147,0,2
264,2,0,-2.55685925,1.13000023,0,2
265,4,3,3.52743816,2.81099153,3,3
266,4,0,3.229917,0.23743777,3,1
267,7,2,-2.70561957,1.84404993,0,2
268,7,0,4.033224,0.356446326,3,1
269,7,2,-1.292397,3.17,1,3
270,5,5,1.47454536,4.03082657,2,-1
271,3,0,0.135702252,-0.193966851,1,1
272,5,5,0.0,3.8,1,-1
273,6,3,0.2844627,0.609338939,2,1
274,6,1,0.0,0.0,1,1
275,8,7,0.0,0.0,1,1
276,2,2,0.0,0.0,1,1
277,2,4,0.0,0.0,1,1
278,2,5,0.0,0.0,1,1
279,2,1,0.0,0.0,1,1
280,2,0,0.0,0.0,1,1
281,3,3,0.0,0.0,1,1
282,6,0,0.0,0.0,1,1
283,7,2,0.0,0.0,1,1
284,0,0,0.0,0.0,1,1
285,0,1,0.0,0.0,1,1
286,0,2,0.0,0.0,1,1
287,8,7,0.0,0.0,1,1
288,2,2,2.87289286,2.36471057,3,3
289,2,5,3.5571897,1.75479341,3,2
290,5,5,-4.193223,3.85231423,-1,-1
291,5,0,4.092727,3.9118185,3,-1
292,0,1,3.616694,-0.789008141,3,0
293,7,2,4.10760355,-0.104710713,3,1
294,6,1,-1.827934,1.1002481,1,2
295,6,0,-0.489090919,0.401074529,1,1
296,0,2,-0.2510743,2.67710757,1,3
297,7,0,0.448099017,3.17,2,3
298,3,0,-1.75355363,0.356446326,1,1
299,3,4,2.917521,1.76966953,3,2
300,1,6,1.72743821,3.17,2,3
301,1,8,3.67619848,2.587851,3,3
302,1,9,-4.17834663,3.17,-1,-1
303,1,2,-4.43,-0.3576033,-1,-1
304,1,3,-4.118843,0.118429765,0,1
305,4,3,3.34892583,0.1035537,3,1
306,4,0,-0.8312397,1.23413217,1,2
307,6,0,-3.0626452,2.84074378,0,3
308,8,7,0.0,0.0,1,1
309,5,4,3.824959,4.03082657,3,-1
310,5,0,-3.95520663,4.07545471,0,-1
311,5,0,-3.43454576,4.0903306,0,-1
312,2,4,2.44148779,2.14157,3,2
313,2,4,3.40843,2.94487619,3,3
314,3,5,3.36380219,2.21595049,3,2
315,6,3,4.300992,2.23082662,3,2
316,7,1,4.256364,2.95975232,3,3
317,0,0,-4.0890913,2.72173572,0,3
318,0,0,0.00181806087,3.17,1,3
319,7,0,-3.41966939,3.019256,0,3
320,3,3,2.26297569,-0.193966851,2,1
321,1,5,1.17702484,3.17,2,3
322,1,6,4.43,1.15975177,3,2
323,1,3,4.43,0.564710736,3,1
324,4,1,2.44148779,2.85562,3,3
325,4,3,-2.79487586,3.17,0,3
326,6,2,3.21504164,-0.179090783,3,1
327,7,1,-0.7271073,3.17,1,3
328,1,3,-4.356859,0.505206466,-1,-1
329,1,2,-3.77669454,0.8027273,0,1
330,8,7,0.0,0.0,1,1
331,2,3,3.24479342,2.6919837,3,3
332,2,2,4.137355,2.08206582,3,2
333,6,2,2.06958723,-0.179090783,2,1
334,6,3,-0.0130577087,-0.134462848,1,1
335,3,2,1.02826452,-0.07495858,2,1
336,3,1,3.229917,2.126694,3,2
337,7,0,4.092727,2.73661184,3,3
338,0,3,-0.875867844,2.82586765,1,3
339,0,1,-3.76181817,2.7961154,0,3
340,5,4,-0.102314353,3.95644617,1,-1
341,5,5,-2.79487586,3.971322,0,-1
342,7,1,-2.94363618,3.17,0,3
343,1,4,1.83157063,3.06388426,2,3
344,1,8,0.165454388,0.743223,1,1
345,1,9,-4.43,-0.223718986,-1,-1
346,2,3,2.42661142,2.022562,2,2
347,4,2,-4.43,3.17,-1,-1
348,4,3,-1.47090912,3.17,1,3
349,8,7,0.0,0.0,1,1
350,6,3,-3.50892568,2.85562,0,3
351,0,0,-1.30727291,2.84074378,1,3
352,0,2,3.5125618,2.93,3,3
353,7,2,-2.11057854,3.17,0,3
354,7,2,2.82826471,3.17,3,3
355,3,3,-3.46429753,1.93330574,0,2
356,3,2,2.64975262,0.118429765,3,1
357,6,3,3.5125618,0.0589254946,3,1
358,7,0,2.97702527,0.653967142,3,1
359,5,4,3.6464467,4.00107431,3,-1
360,5,0,-3.61305785,4.00107431,0,-1
361,4,3,3.48281,-0.774132133,3,0
362,4,0,-4.29735565,3.034132,-1,-1
363,6,1,-1.53041339,0.0291736275,1,1
364,2,2,0.537355542,3.07876015,2,3
365,2,1,1.47454536,2.21595049,2,2
366,3,5,0.6266116,2.39446282,2,3
367,3,1,-0.518842936,0.118429765,1,1
368,4,1,-0.637851238,0.341570258,1,1
369,8,7,0.0,0.0,1,1
370,6,3,-0.7122314,1.39776838,1,2
371,6,0,0.165454388,0.520082533,1,1
372,0,0,3.48281,2.8704958,3,3
373,0,3,-3.83619857,2.7961154,0,3
374,0,1,2.322479,-0.744380236,2,0
375,7,0,-1.50066137,1.219256,1,2
376,4,2,4.19685936,-0.6997521,3,0
377,7,0,-2.94363618,3.12338853,0,3
378,1,4,-1.396529,3.17,1,3
379,1,3,4.3902483,3.1085124,3,3
380,1,7,4.43,-0.0898346454,3,1
381,1,6,4.28611565,0.47545433,3,1
382,5,4,3.49768639,4.04570246,3,-1
383,5,5,-3.94033027,4.01595,0,-1
384,3,5,-0.8907442,0.624215,1,1
385,4,2,-2.88413262,2.57297516,0,3
386,2,5,1.29603314,2.67710757,2,3
387,2,6,2.33735538,1.8291738,2,2
388,3,4,1.310909,1.91842961,2,2
389,8,7,0.0,0.0,1,1
390,1,4,3.24479342,2.97462845,3,3
391,7,0,4.226611,-0.06008251,3,1
392,1,2,4.36049652,3.17,3,3
393,1,3,3.85471058,2.885372,3,3
394,3,0,-3.37504125,2.453967,0,3
395,2,5,-3.330413,3.12338853,0,3
396,2,6,-2.512231,2.3795867,0,3
397,0,1,3.42330551,-0.7146281,3,0
398,4,1,3.67619848,-0.119586781,3,1
399,7,1,4.16710758,2.08206582,3,2
400,3,4,-1.61966968,0.401074529,1,1
401,6,3,-2.646116,0.3713224,0,1
402,6,1,-0.637851238,0.341570258,1,1
403,0,1,3.40843,1.8886776,3,2
404,6,3,-1.61966968,1.219256,1,2
405,5,3,-2.660992,4.04570246,0,-1
406,5,0,3.54231453,4.00107431,3,-1
407,1,3,-1.96181846,2.915124,0,3
408,1,2,-1.44115686,3.17,1,3
409,8,7,0.0,0.0,1,1
410,0,2,3.03652859,2.85562,3,3
411,0,3,1.11752057,2.85562,2,3
412,4,2,3.958843,3.07876015,3,3
413,7,0,2.29272747,3.17,2,3
414,2,1,2.06958723,0.728346944,2,1
415,2,0,3.06628132,0.1481819,3,1
416,3,1,2.024959,0.1481819,2,1
417,7,0,0.314214826,3.17,2,3
418,4,0,-4.074215,3.17,0,3
419,0,1,-3.3006618,2.7961154,0,3
420,6,0,-1.91719007,2.76636386,1,3
421,6,1,-2.52710748,0.5944629,0,1
422,5,4,-1.02462816,4.120083,1,-1
423,5,1,3.73570275,3.95644617,3,-1
424,4,1,1.66793382,3.12338853,2,3
425,3,5,-1.45603323,0.564710736,1,1
426,2,5,-1.426281,1.29363644,1,2
427,2,6,-0.5634711,0.5795868,1,1
428,8,7,0.0,0.0,1,1
429,3,0,2.45636415,1.76966953,3,2
430,5,4,3.661322,4.04570246,3,-1
431,5,5,2.575372,4.06057835,3,-1
432,5,1,-4.13371944,4.10520649,0,-1
433,5,0,-3.49405026,4.10520649,0,-1
434,1,5,-4.43,0.118429765,-1,-1
435,1,6,-4.29735565,0.6837193,-1,-1
436,1,7,-4.43,1.26388431,-1,-1
437,1,8,3.572066,3.019256,3,3
438,6,0,3.49768639,1.78454566,3,2
439,6,0,1.4447937,1.78454566,2,2
440,3,2,-3.538678,2.49859524,0,3
441,0,0,-1.32214856,2.6919837,1,3
442,4,3,-2.199835,3.17,0,3
443,2,5,-3.538678,3.17,0,3
444,0,0,2.5009923,-0.5361156,3,0
445,7,0,3.63157034,-0.774132133,3,0
446,3,4,-1.60479379,0.1481819,1,1
447,2,6,-1.63454533,0.8771076,1,1
448,2,5,-0.756859541,0.1035537,1,1
449,4,0,3.85471058,0.0589254946,3,1
450,8,7,0.0,0.0,1,1
451,2,2,3.616694,0.163057968,3,1
452,0,0,-1.45603323,2.587851,1,3
453,0,2,3.5571897,2.7961154,3,3
454,2,1,2.72413254,0.8473555,3,1
455,3,5,2.73900867,0.23743777,3,1
456,7,0,4.28611565,3.15314054,3,3
457,7,2,-2.39322352,3.17,0,3
458,6,1,-1.93206644,0.356446326,1,1
459,6,3,0.07619834,0.356446326,1,1
460,3,2,-0.9353721,0.356446326,1,1
461,1,4,2.233223,3.17,2,3
462,1,3,1.59355354,3.1085124,2,3
463,5,4,3.616694,4.07545471,3,-1
464,5,5,-3.61305785,4.01595,0,-1
465,1,2,-4.43,3.13826466,-1,-1
466,1,3,-3.984959,2.85562,0,3
467,4,2,4.31586838,2.468843,3,3
468,4,3,-0.608099,3.17,1,3
469,1,6,4.12248,0.9514874,3,1
470,1,9,-3.270909,2.73661184,0,3
471,8,7,0.0,0.0,1,1
472,5,4,-3.80644631,4.06057835,0,-1
473,5,0,3.63157034,4.00107431,3,-1
474,7,2,3.48281,2.94487619,3,3
475,7,1,-4.01471138,2.98950434,0,3
476,0,2,3.54231453,2.24570274,3,2
477,0,0,-3.211405,3.17,0,3
478,1,4,4.300992,0.936611354,3,1
479,1,5,4.43,0.386198461,3,1
480,1,6,1.50429749,3.034132,2,3
481,1,8,2.29272747,2.94487619,2,3
482,3,5,-2.69074416,1.070496,0,2
483,2,3,-3.55355382,0.9663635,0,1
484,2,4,-1.78330588,1.01099169,1,1
485,3,4,1.4447937,0.341570258,2,1
486,6,2,2.367107,0.3713224,2,1
487,6,3,1.50429749,1.13000023,2,2
488,4,2,4.2414875,3.1085124,3,3
489,4,3,-2.39322352,3.17,0,3
490,7,0,2.277851,1.18950391,2,2
491,8,7,0.0,0.0,1,1
492,5,5,3.5125618,3.971322,3,-1
493,5,1,-3.99983478,4.10520649,0,-1
494,7,0,3.79520631,2.8704958,3,3
495,0,0,-1.8874383,2.98950434,1,3
496,0,3,3.304298,-0.6402478,3,0
497,6,1,1.48942161,0.936611354,2,1
498,6,0,0.6414875,1.81429768,2,2
499,3,2,0.581983566,0.9514874,2,1
500,1,3,2.62,2.900248,3,3
501,1,2,2.143967,3.17,2,3
502,7,0,4.033224,-0.0154545754,3,1
503,4,2,3.24479342,2.98950434,3,3
504,4,1,-1.2031405,3.17,1,3
505,3,5,3.79520631,1.24900818,3,2
506,2,3,2.90264463,1.27876043,3,2
507,1,6,-4.267604,-0.0898346454,-1,-1
508,1,5,-4.43,0.4605788,-1,-1
509,3,0,-2.214711,-0.0303306431,0,1
510,2,5,-1.292397,-0.0005785078,1,1
511,2,5,-3.03289247,0.01429756,0,1
512,4,2,-3.04776883,0.81760335,0,1
513,8,7,0.0,0.0,1,1
514,5,4,3.42330551,3.95644617,3,-1
515,7,2,4.01834774,3.13826466,3,3
516,2,1,2.56049562,3.15314054,3,3
517,2,0,3.49768639,2.49859524,3,3
518,3,1,2.575372,2.57297516,3,3
519,7,0,-3.092397,1.85892534,0,2
520,1,3,-3.99983478,2.885372,0,3
521,1,2,-3.50892568,3.17,0,3
522,5,3,-3.00314069,4.10520649,0,-1
523,6,0,1.59355354,-0.179090783,2,1
524,6,3,3.48281,-0.208842918,3,0
525,3,2,2.53074384,-0.119586781,3,1
526,1,6,0.299339056,3.019256,2,3
527,0,0,-3.910579,1.53165293,0,2
528,0,2,-2.22958684,1.50190091,0,2
529,4,2,3.42330551,3.17,3,3
530,4,3,-1.17338872,3.07876015,1,3
531,6,2,2.51586747,0.6985948,3,1
532,1,5,0.864628136,3.17,2,3
533,8,7,0.0,0.0,1,1
534,6,0,2.322479,1.97793388,2,2
535,6,0,3.45305824,1.01099169,3,1
536,7,0,3.393554,1.97793388,3,2
537,3,3,2.322479,1.1002481,2,2
538,7,2,-3.68743873,2.6919837,0,3
539,5,3,3.58694243,3.971322,3,-1
540,5,5,2.90264463,4.04570246,3,-1
541,2,1,-1.90231419,2.022562,1,2
542,2,1,-3.64281,2.00768614,0,2
543,1,3,1.65305793,2.885372,2,3
544,1,2,1.19190073,3.17,2,3
545,3,5,-2.765124,2.096942,0,2
546,0,1,3.096033,3.034132,3,3
547,0,3,2.64975262,-0.65512383,3,0
548,4,2,3.914215,3.04900813,3,3
549,4,3,3.958843,-0.5361156,3,0
550,1,4,-2.765124,3.034132,0,3
551,1,7,-2.1849587,3.17,0,3
552,5,3,-3.86595082,4.03082657,0,-1
553,0,2,-2.67586827,-0.07495858,0,1
554,6,1,-1.26264477,0.7580991,1,1
555,3,4,-1.24776888,-0.06008251,1,1
556,8,7,0.0,0.0,1,1
557,5,4,3.70595026,3.95644617,3,-1
558,5,5,-0.2510743,4.120083,1,-1
559,1,4,1.74231458,3.00438,2,3
560,1,5,2.3076036,3.17,2,3
561,7,0,4.152231,2.94487619,3,3
562,6,0,-1.67917347,1.93330574,1,2
563,6,0,-3.76181817,1.99281,0,2
564,1,3,-4.25272751,2.885372,-1,-1
565,1,2,-3.76181817,3.17,0,3
566,3,1,-2.70561957,1.96305788,0,2
567,7,0,-2.89900851,2.7961154,0,3
568,0,2,3.24479342,3.13826466,3,3
569,0,3,3.15553737,-0.6104959,3,0
570,7,2,4.21173573,-0.0898346454,3,1
571,4,2,4.256364,-0.87,3,0
572,3,2,2.33735538,1.546529,2,2
573,2,0,2.367107,2.27545476,2,2
574,2,0,3.20016527,1.41264439,3,2
575,4,2,-3.984959,1.14487624,0,2
576,0,0,-1.039504,0.0440496951,1,1
577,1,8,0.96876055,2.93,2,3
578,2,1,-1.02462816,0.6985948,1,1
579,8,7,0.0,0.0,1,1
580,3,3,2.26297569,1.79942167,2,2
581,3,0,-0.8163638,-0.208842918,1,0
582,2,5,2.322479,2.543223,2,3
583,2,6,-1.69404984,-0.2683472,1,0
584,2,5,3.08115673,1.75479341,3,2
585,5,3,3.00677681,4.00107431,3,-1
586,5,5,-0.399834633,4.07545471,1,-1
587,1,4,4.181983,3.17,3,3
588,1,6,3.45305824,3.17,3,3
589,1,3,-4.13371944,-0.104710713,0,1
590,1,2,-4.43,0.401074529,-1,-1
591,2,6,-0.0130577087,-0.179090783,1,1
592,4,2,3.17041373,2.543223,3,3
593,4,3,-1.50066137,0.5795868,1,1
594,0,3,2.0398345,-0.3129751,2,0
595,0,0,-3.34528947,2.76636386,0,3
596,6,0,-2.30396676,2.67710757,0,3
597,7,1,3.185289,0.0291736275,3,1
598,7,0,-4.10396767,3.1085124,0,3
599,6,1,0.314214826,2.72173572,2,3
600,4,0,3.185289,-0.684875965,3,0
601,3,6,0.314214826,1.90355361,2,2
602,8,7,0.0,0.0,1,1
603,2,2,-3.695254,0.594406545,0,1
604,5,4,3.21999979,3.8,3,-1
605,5,1,-2.23762679,3.8,0,-1
606,0,0,-2.94949174,0.61135596,0,1
607,0,3,1.40644073,2.696102,2,3
608,4,2,-2.37322021,3.17,0,3
609,5,4,-1.37322044,3.8,1,-1
610,6,3,2.13525414,-0.117457643,2,1
611,7,2,0.762373149,3.11983085,2,3
612,3,2,1.23694921,-0.0496610552,2,1
613,3,0,-3.91559339,-0.38864398,0,0
614,2,3,0.457288027,-0.202203378,2,0
615,4,2,-4.05118656,0.20457615,0,1
616,5,4,-3.695254,3.8,0,-1
617,7,2,0.0,0.0,1,1
618,3,3,0.0,0.0,1,1
619,8,7,0.0,0.0,1,1
620,0,2,0.0,0.0,1,1
621,0,3,0.370461226,1.34924293,2,2
622,0,3,0.0,0.0,1,1
623,8,7,0.0,0.0,1,1
624,3,3,1.23652875,1.87380147,2,2
625,6,0,2.03239632,1.79942167,2,2
626,5,4,1.310909,3.8,2,-1
627,0,0,4.256364,1.38289285,3,2
628,1,4,-2.445289,3.17,0,3
629,1,3,4.43,2.34983444,3,3
630,7,2,-3.38991761,2.97462845,0,3
631,0,0,-4.044463,2.543223,0,3
632,6,3,0.396032929,1.90355361,2,2
633,4,2,3.63157034,1.87380147,3,2
634,1,4,3.81008267,2.51347136,3,3
635,7,1,3.69851255,1.27876043,3,2
636,2,4,-0.630413055,0.9217358,1,1
637,4,1,-3.41966939,2.21595049,0,2
638,1,5,3.28198314,2.75148773,3,3
639,5,4,-1.2031405,3.8,1,-1
640,5,5,0.0,3.8,1,-1
641,5,5,0.0,3.8,1,-1
642,1,4,2.701818,2.60272717,3,3
643,3,3,-1.24033046,1.1002481,1,2
